시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
강원,정선군,부상자수,17,8,38,4,11,25,27,9,21,12
강원,철원군,사고건수,9,12,15,18,13,18,11,20,14,16
강원,철원군,사망자수,2,1,0,2,0,1,0,3,0,1
강원,철원군,부상자수,12,17,21,33,22,27,15,26,24,21
강원,화천군,사고건수,4,5,3,5,4,10,5,11,8,5
강원,화천군,사망자수,1,1,0,1,0,2,0,0,0,1
강원,화천군,부상자수,3,11,3,7,4,11,8,17,10,5
강원,양구군,사고건수,5,5,4,6,2,7,10,13,4,8
강원,양구군,사망자수,2,0,0,0,0,0,1,0,1,2
강원,양구군,부상자수,7,19,7,7,3,11,14,23,5,10
강원,인제군,사고건수,3,8,7,10,15,11,6,14,2,10
강원,인제군,사망자수,1,0,0,2,0,1,0,2,0,1
강원,인제군,부상자수,5,18,33,20,24,16,10,26,5,15
강원,고성군,사고건수,12,7,11,21,15,10,10,6,13,15
강원,고성군,사망자수,1,1,1,4,1,0,0,0,2,3
강원,고성군,부상자수,20,6,20,29,23,22,16,7,21,26
강원,양양군,사고건수,13,8,26,14,9,10,16,13,18,13
강원,양양군,사망자수,0,0,2,0,0,1,0,1,1,2
강원,양양군,부상자수,37,14,39,24,10,17,25,22,23,24
충북,청주시,사고건수,169,142,210,176,225,218,305,212,336,289
충북,청주시,사망자수,5,3,3,5,1,4,7,4,8,9
충북,청주시,부상자수,271,231,321,267,371,308,474,306,567,464
충북,충주시,사고건수,80,74,78,94,86,90,90,99,86,96
충북,충주시,사망자수,2,7,14,6,5,8,4,3,8,2
충북,충주시,부상자수,125,111,121,139,124,162,128,142,144,140
충북,제천시,사고건수,56,53,50,56,67,78,70,74,74,92
충북,제천시,사망자수,2,2,1,2,2,2,0,1,3,3
충북,제천시,부상자수,97,86,94,85,120,128,119,116,124,172
충북,청원군,사고건수,17,22,-,-,-,-,-,-,-,-
충북,청원군,사망자수,3,2,-,-,-,-,-,-,-,-
충북,청원군,부상자수,16,31,-,-,-,-,-,-,-,-
충북,보은군,사고건수,10,21,7,17,11,20,16,17,18,29
충북,보은군,사망자수,0,5,0,2,0,2,3,3,0,0
충북,보은군,부상자수,13,20,12,25,27,26,26,20,28,40
충북,옥천군,사고건수,13,21,20,29,24,25,30,26,26,30
충북,옥천군,사망자수,2,2,1,3,0,1,1,2,1,1
충북,옥천군,부상자수,23,27,26,41,34,32,43,36,42,38
충북,영동군,사고건수,15,22,17,20,25,14,20,23,21,23
충북,영동군,사망자수,1,4,3,0,3,1,0,2,0,3
충북,영동군,부상자수,20,31,16,29,35,16,28,32,23,26
충북,진천군,사고건수,14,20,25,26,23,32,33,30,33,35
충북,진천군,사망자수,0,1,1,0,1,4,1,0,1,1
충북,진천군,부상자수,17,28,39,38,30,40,57,43,49,44
충북,괴산군,사고건수,11,21,16,16,13,27,18,15,19,42
충북,괴산군,사망자수,1,1,1,5,1,2,3,0,1,5
충북,괴산군,부상자수,13,28,37,17,15,34,24,29,34,59
충북,음성군,사고건수,26,35,35,30,36,39,39,36,63,50
충북,음성군,사망자수,1,3,5,3,1,5,4,4,1,0
충북,음성군,부상자수,41,64,55,45,59,63,63,54,98,95
충북,단양군,사고건수,18,10,12,15,6,12,16,14,11,15
충북,단양군,사망자수,1,0,2,0,0,1,0,0,0,1
충북,단양군,부상자수,39,20,14,21,14,21,27,20,13,22
충북,증평군,사고건수,16,14,13,19,18,18,11,10,20,16
충북,증평군,사망자수,1,0,0,2,0,0,0,0,0,0
충북,증평군,부상자수,26,20,22,23,27,26,18,20,35,22
충남,천안시,사고건수,84,54,86,61,91,90,123,91,129,116
충남,천안시,사망자수,2,3,4,6,0,4,4,4,4,6
충남,천안시,부상자수,117,76,160,71,142,124,158,123,191,152
충남,아산시,사고건수,26,24,47,34,57,55,53,47,47,34
충남,아산시,사망자수,2,4,4,1,1,4,4,7,4,4
